,Outcome,HomeTeam,AwayTeam,HomeScores,AwayScores,Date,Month,Year,HomeHalfScores,HomeScrums,HomePenalties,AwayHalfScores,AwayScrums,AwayPenalties
304,win,St George Illawarra,South Sydney,38,28,9/07/2015,7,2006,22,3,7,16,7,7
305,loose,St George Illawarra,Bulldogs,16,22,14/07/2015,7,2006,4,7,6,10,7,5
306,win,Penrith,North Queensland,17,8,15/07/2015,7,2006,0,9,4,2,9,7
307,loose,South Sydney,Manly Warringah,20,26,15/07/2015,7,2006,10,2,6,16,6,5
308,loose,Warriors,Parramatta,12,20,15/07/2015,7,2006,6,8,5,18,5,4
309,win,Canberra,Wests Tigers,20,18,16/07/2015,7,2006,12,6,5,12,9,5
310,loose,Newcastle,Melbourne,16,24,16/07/2015,7,2006,10,6,10,12,12,6
311,win,Sydney,Cronulla,38,32,16/07/2015,7,2006,16,8,3,18,5,9
312,win,Melbourne,Cronulla,28,12,21/07/2015,7,2006,16,7,6,0,7,7
313,win,Bulldogs,Sydney,25,0,22/07/2015,7,2006,10,8,11,0,7,7
314,win,Newcastle,South Sydney,24,18,22/07/2015,7,2006,24,5,5,0,8,3
315,win,North Queensland,Brisbane,26,10,22/07/2015,7,2006,14,10,5,4,6,2
316,win,Canberra,St George Illawarra,31,12,23/07/2015,7,2006,12,7,11,6,5,5
317,win,Manly Warringah,Penrith,32,30,23/07/2015,7,2006,6,6,7,24,4,6
318,loose,Wests Tigers,Parramatta,6,34,23/07/2015,7,2006,6,5,6,16,6,1
319,loose,Cronulla,Newcastle,18,22,28/07/2015,7,2006,12,5,7,10,9,3
320,win,Parramatta,Manly Warringah,31,18,29/07/2015,7,2006,18,4,8,8,5,8
321,win,Penrith,Warriors,36,6,29/07/2015,7,2006,12,6,7,6,6,2
322,win,South Sydney,Canberra,21,8,29/07/2015,7,2006,20,10,5,4,6,5
323,loose,Brisbane,Wests Tigers,6,20,30/07/2015,7,2006,0,3,8,10,6,9
324,loose,St George Illawarra,Melbourne,24,34,30/07/2015,7,2006,12,6,5,16,5,3
325,win,Sydney,North Queensland,40,20,30/07/2015,7,2006,6,6,8,16,4,4
326,win,Parramatta,St George Illawarra,28,6,4/08/2015,8,2006,10,11,13,6,7,7
327,win,Melbourne,Wests Tigers,46,4,5/08/2015,8,2006,16,5,3,4,2,7
328,loose,North Queensland,Bulldogs,14,54,5/08/2015,8,2006,0,6,7,30,6,5
329,win,Warriors,Cronulla,12,10,5/08/2015,8,2006,6,4,7,6,10,6
330,win,Canberra,Brisbane,30,18,6/08/2015,8,2006,14,7,7,6,9,4
331,win,South Sydney,Penrith,32,26,6/08/2015,8,2006,16,4,5,10,4,7
332,loose,Sydney,Newcastle,18,32,6/08/2015,8,2006,6,5,3,26,7,6
333,loose,Newcastle,Manly Warringah,14,16,11/08/2015,8,2006,8,3,6,10,8,9
334,loose,Cronulla,Parramatta,14,34,12/08/2015,8,2006,12,4,4,8,7,6
335,loose,Penrith,Sydney,20,40,12/08/2015,8,2006,14,5,5,16,7,2
336,win,Warriors,North Queensland,26,0,12/08/2015,8,2006,12,9,6,0,7,4
337,loose,Brisbane,Melbourne,12,18,13/08/2015,8,2006,10,7,4,0,5,4
338,win,Bulldogs,St George Illawarra,26,10,13/08/2015,8,2006,16,10,6,4,4,6
339,loose,Wests Tigers,Canberra,18,19,13/08/2015,8,2006,12,10,12,12,10,3
340,loose,Bulldogs,Brisbane,0,30,18/08/2015,8,2006,0,6,5,18,8,8
341,loose,Cronulla,Penrith,28,32,19/08/2015,8,2006,10,6,3,8,8,5
342,loose,Melbourne,Warriors,20,24,19/08/2015,8,2006,14,5,8,12,9,7
343,loose,North Queensland,Newcastle,12,19,19/08/2015,8,2006,6,4,6,10,11,5
344,win,Manly Warringah,South Sydney,38,16,20/08/2015,8,2006,10,4,6,12,7,3
345,win,St George Illawarra,Wests Tigers,46,16,20/08/2015,8,2006,20,4,5,4,6,2
346,loose,Sydney,Parramatta,26,40,20/08/2015,8,2006,14,8,5,26,10,8
347,win,Manly Warringah,Bulldogs,21,20,25/08/2015,8,2006,18,10,8,12,4,4
348,loose,Canberra,Melbourne,18,22,26/08/2015,8,2006,6,9,8,16,4,3
349,win,Newcastle,Penrith,40,4,26/08/2015,8,2006,22,4,6,4,4,2
350,win,St George Illawarra,Cronulla,18,4,26/08/2015,8,2006,6,10,7,4,8,6
352,loose,South Sydney,North Queensland,12,34,27/08/2015,8,2006,6,6,7,16,4,2
353,win,Warriors,Sydney,42,16,27/08/2015,8,2006,20,7,9,10,3,10
354,win,North Queensland,Parramatta,22,8,1/09/2015,9,2006,6,6,2,8,8,4
355,loose,Cronulla,Canberra,24,26,2/09/2015,9,2006,0,8,4,26,4,5
356,win,Melbourne,Manly Warringah,30,20,2/09/2015,9,2006,16,6,8,10,8,6
357,loose,Sydney,St George Illawarra,16,36,2/09/2015,9,2006,14,6,5,8,9,6
358,win,Brisbane,Warriors,36,12,3/09/2015,9,2006,18,7,3,6,7,5
359,loose,Penrith,Bulldogs,22,30,3/09/2015,9,2006,12,9,7,12,8,5
360,win,Wests Tigers,South Sydney,52,18,3/09/2015,9,2006,30,9,8,0,9,4
361,loose,Brisbane,North Queensland,16,23,16/03/2015,3,2007,6,7,5,16,7,6
362,win,Melbourne,Wests Tigers,18,16,16/03/2015,3,2007,12,8,8,10,6,10
363,win,Cronulla,Penrith,18,0,17/03/2015,3,2007,6,7,9,0,5,9
364,win,Manly Warringah,Canberra,32,6,17/03/2015,3,2007,14,10,5,0,5,6
365,win,Warriors,Parramatta,34,18,17/03/2015,3,2007,24,6,9,0,4,10
366,loose,Gold Coast Titans,St George Illawarra,18,20,18/03/2015,3,2007,6,6,8,6,10,4
367,win,Newcastle,Bulldogs,25,24,18/03/2015,3,2007,8,9,7,24,3,8
368,loose,Sydney,South Sydney,6,18,19/03/2015,3,2007,0,5,5,12,8,9
369,win,Penrith,Bulldogs,40,10,23/03/2015,3,2007,14,7,7,4,8,8
370,loose,St George Illawarra,Newcastle,12,16,23/03/2015,3,2007,6,6,9,8,7,10
371,loose,Canberra,Melbourne,16,32,24/03/2015,3,2007,10,6,7,14,5,4
372,win,North Queensland,Sydney,43,6,24/03/2015,3,2007,18,5,12,6,5,6
373,loose,Wests Tigers,Manly Warringah,8,19,24/03/2015,3,2007,8,8,10,10,8,5
374,win,South Sydney,Parramatta,31,6,25/03/2015,3,2007,12,11,6,6,6,6
375,win,Warriors,Brisbane,24,14,25/03/2015,3,2007,24,4,11,10,9,5
376,win,Gold Coast Titans,Cronulla,18,16,26/03/2015,3,2007,6,4,6,10,8,5
377,loose,Brisbane,Penrith,28,29,30/03/2015,3,2007,14,10,8,20,9,5
378,win,Parramatta,Wests Tigers,22,20,30/03/2015,3,2007,14,3,12,12,7,10
379,loose,Cronulla,South Sydney,16,26,31/03/2015,3,2007,4,7,5,20,2,4
380,loose,St George Illawarra,North Queensland,18,22,31/03/2015,3,2007,0,9,10,16,9,5
381,win,Bulldogs,Gold Coast Titans,22,6,1/04/2015,4,2007,6,11,8,2,8,7
382,win,Melbourne,Warriors,30,12,1/04/2015,4,2007,14,12,3,0,9,3
383,loose,Sydney,Manly Warringah,8,30,1/04/2015,4,2007,6,7,8,6,8,8
384,win,Canberra,Newcastle,48,18,2/04/2015,4,2007,16,11,7,12,10,5
385,loose,South Sydney,Bulldogs,10,34,6/04/2015,4,2007,6,6,8,14,10,4
386,loose,Sydney,Brisbane,10,32,6/04/2015,4,2007,6,2,6,16,8,10
387,loose,Newcastle,Melbourne,12,22,7/04/2015,4,2007,12,13,9,12,8,6
388,win,North Queensland,Wests Tigers,25,24,7/04/2015,4,2007,6,7,7,14,7,7
389,win,Parramatta,Canberra,38,6,7/04/2015,4,2007,12,7,9,0,10,5
390,win,Manly Warringah,Warriors,13,10,8/04/2015,4,2007,0,5,10,6,8,6
391,loose,Penrith,Gold Coast Titans,22,24,8/04/2015,4,2007,6,7,4,12,7,5
392,win,Cronulla,St George Illawarra,40,4,9/04/2015,4,2007,16,6,8,4,7,7
393,win,Gold Coast Titans,Brisbane,28,16,13/04/2015,4,2007,12,7,5,6,8,5
394,loose,Penrith,Parramatta,14,27,13/04/2015,4,2007,12,6,6,14,8,10
395,loose,Bulldogs,Manly Warringah,14,16,14/04/2015,4,2007,6,8,6,4,5,7
396,loose,St George Illawarra,Melbourne,10,24,14/04/2015,4,2007,10,2,9,4,7,6
397,loose,South Sydney,Newcastle,22,23,15/04/2015,4,2007,12,10,4,10,7,4
398,win,Warriors,North Queensland,34,14,15/04/2015,4,2007,10,8,9,10,6,8
399,win,Wests Tigers,Cronulla,14,12,15/04/2015,4,2007,6,13,4,10,3,6
400,win,Canberra,Sydney,37,28,16/04/2015,4,2007,26,6,9,12,2,6
401,win,Cronulla,Canberra,26,0,21/04/2015,4,2007,18,14,12,0,7,10
402,win,Melbourne,Penrith,30,20,21/04/2015,4,2007,12,8,9,8,6,11
403,win,Manly Warringah,Gold Coast Titans,20,6,22/04/2015,4,2007,18,9,6,0,7,6
404,loose,Newcastle,Brisbane,16,20,22/04/2015,4,2007,10,9,6,16,5,5
405,loose,Parramatta,Bulldogs,18,21,22/04/2015,4,2007,16,6,10,12,11,6
406,loose,North Queensland,South Sydney,6,10,23/04/2015,4,2007,6,7,9,4,12,5
407,win,Sydney,St George Illawarra,18,4,25/04/2015,4,2007,10,6,10,0,8,8
408,loose,Brisbane,Melbourne,18,28,27/04/2015,4,2007,12,6,6,16,4,9
409,loose,Bulldogs,Wests Tigers,18,34,27/04/2015,4,2007,6,10,5,16,5,6
410,win,North Queensland,Manly Warringah,30,26,28/04/2015,4,2007,14,5,8,0,8,9
411,loose,Penrith,Canberra,18,34,28/04/2015,4,2007,12,7,6,16,2,11
412,win,Gold Coast Titans,Parramatta,38,12,29/04/2015,4,2007,22,4,8,0,7,5
413,loose,South Sydney,Warriors,16,18,29/04/2015,4,2007,4,5,12,8,4,10
414,win,Newcastle,Cronulla,20,16,30/04/2015,4,2007,8,6,4,4,11,5
415,win,Brisbane,South Sydney,8,4,4/05/2015,5,2007,0,13,4,0,7,3
416,win,St George Illawarra,Penrith,28,16,4/05/2015,5,2007,18,7,10,10,6,5
417,win,Parramatta,Sydney,28,10,5/05/2015,5,2007,22,10,9,0,8,7
418,loose,Warriors,Cronulla,20,22,5/05/2015,5,2007,8,8,8,6,8,10
419,win,Wests Tigers,Melbourne,30,12,5/05/2015,5,2007,22,8,9,0,7,4
420,win,Bulldogs,Newcastle,30,16,6/05/2015,5,2007,12,4,9,0,9,6
421,loose,Canberra,Manly Warringah,30,46,6/05/2015,5,2007,12,5,3,6,8,4
422,loose,Gold Coast Titans,North Queensland,10,24,7/05/2015,5,2007,4,12,4,16,7,7
423,win,Cronulla,Brisbane,16,8,11/05/2015,5,2007,8,2,6,8,4,5
424,win,Manly Warringah,Parramatta,22,12,11/05/2015,5,2007,2,4,7,6,10,6
425,win,Newcastle,Warriors,24,18,12/05/2015,5,2007,6,9,5,12,8,6
426,loose,North Queensland,Penrith,12,22,12/05/2015,5,2007,0,15,9,12,11,4
427,loose,South Sydney,Canberra,10,16,12/05/2015,5,2007,6,7,6,0,10,10
428,win,Sydney,Gold Coast Titans,24,18,13/05/2015,5,2007,10,8,5,0,7,6
429,win,Wests Tigers,St George Illawarra,27,8,13/05/2015,5,2007,6,7,9,8,3,3
430,win,Melbourne,Bulldogs,38,14,14/05/2015,5,2007,24,12,7,8,10,4
431,win,St George Illawarra,Gold Coast Titans,28,10,18/05/2015,5,2007,12,7,8,4,9,4
432,win,Melbourne,Sydney,26,2,19/05/2015,5,2007,10,9,5,2,8,4
433,win,Parramatta,North Queensland,44,14,19/05/2015,5,2007,20,7,5,4,6,7
434,loose,Bulldogs,Cronulla,20,30,20/05/2015,5,2007,6,2,5,12,5,6
435,loose,Warriors,Wests Tigers,26,30,20/05/2015,5,2007,12,9,5,12,9,10
436,win,Manly Warringah,Brisbane,18,6,21/05/2015,5,2007,10,1,7,0,7,8
437,loose,Bulldogs,North Queensland,16,26,25/05/2015,5,2007,0,10,4,12,8,8
438,win,Canberra,St George Illawarra,30,6,25/05/2015,5,2007,12,7,10,0,10,5
439,loose,Cronulla,Sydney,12,13,26/05/2015,5,2007,6,9,8,0,8,8
440,win,Gold Coast Titans,South Sydney,25,18,26/05/2015,5,2007,12,6,7,6,6,5
441,win,Manly Warringah,Melbourne,13,12,26/05/2015,5,2007,12,5,5,6,5,2
442,win,Brisbane,Newcastle,71,6,27/05/2015,5,2007,25,3,3,6,5,2
443,loose,Penrith,Wests Tigers,24,25,27/05/2015,5,2007,6,7,4,13,8,6
444,win,Parramatta,Warriors,30,6,28/05/2015,5,2007,12,10,7,6,5,6
445,win,Penrith,Manly Warringah,22,16,1/06/2015,6,2007,16,9,5,10,7,13
446,win,St George Illawarra,Brisbane,11,4,1/06/2015,6,2007,10,7,6,4,11,4
447,win,Melbourne,South Sydney,26,10,2/06/2015,6,2007,6,6,7,6,7,2
448,win,North Queensland,Cronulla,26,24,2/06/2015,6,2007,16,9,3,6,8,9
449,loose,Sydney,Newcastle,18,22,2/06/2015,6,2007,6,10,8,10,7,6
450,win,Gold Coast Titans,Canberra,28,8,3/06/2015,6,2007,28,6,8,0,8,7
451,loose,Warriors,Bulldogs,20,40,3/06/2015,6,2007,14,7,9,18,9,4
452,loose,Wests Tigers,Parramatta,8,38,4/06/2015,6,2007,2,7,8,16,3,5
453,win,South Sydney,Penrith,14,4,8/06/2015,6,2007,4,9,9,4,2,6
454,win,Canberra,Parramatta,38,10,9/06/2015,6,2007,30,6,4,0,2,11
455,win,Sydney,North Queensland,64,30,9/06/2015,6,2007,28,6,7,18,4,6
456,loose,Newcastle,Wests Tigers,14,33,10/06/2015,6,2007,8,5,6,12,8,5
457,loose,Warriors,Melbourne,2,4,10/06/2015,6,2007,2,11,8,0,12,4
458,loose,St George Illawarra,Cronulla,16,20,11/06/2015,6,2007,10,4,9,12,6,4
459,loose,Bulldogs,Brisbane,12,19,15/06/2015,6,2007,6,1,8,12,5,6
460,win,Manly Warringah,South Sydney,14,2,15/06/2015,6,2007,14,8,9,2,6,4
461,loose,Cronulla,Warriors,2,12,16/06/2015,6,2007,2,3,10,6,4,5
462,loose,North Queensland,Melbourne,12,58,16/06/2015,6,2007,4,5,5,40,5,3
463,loose,Penrith,Sydney,20,24,16/06/2015,6,2007,10,4,4,6,8,9
464,win,Parramatta,St George Illawarra,20,12,17/06/2015,6,2007,2,4,10,0,7,4
465,loose,Wests Tigers,Gold Coast Titans,14,16,17/06/2015,6,2007,8,8,6,4,5,6
466,win,Newcastle,Canberra,22,18,18/06/2015,6,2007,4,6,7,0,13,4
467,loose,Manly Warringah,Bulldogs,8,27,22/06/2015,6,2007,8,4,9,20,6,8
468,win,Warriors,Penrith,54,14,22/06/2015,6,2007,36,1,9,10,8,6
469,loose,Canberra,North Queensland,24,28,23/06/2015,6,2007,14,4,7,22,8,4
470,win,Gold Coast Titans,Newcastle,28,22,23/06/2015,6,2007,10,9,5,6,5,2
471,loose,Sydney,Parramatta,16,36,23/06/2015,6,2007,0,7,9,22,10,7
472,win,Melbourne,St George Illawarra,28,6,24/06/2015,6,2007,12,7,9,6,4,5
473,win,South Sydney,Cronulla,16,12,24/06/2015,6,2007,14,5,8,8,4,4
474,win,Brisbane,Wests Tigers,48,18,25/06/2015,6,2007,28,3,3,6,8,6
475,loose,Newcastle,South Sydney,25,28,29/06/2015,6,2007,16,7,7,12,3,8
476,loose,Gold Coast Titans,Warriors,6,22,30/06/2015,6,2007,6,10,5,0,6,10
477,loose,Penrith,Brisbane,16,24,30/06/2015,6,2007,10,7,9,18,9,5
478,loose,Canberra,Wests Tigers,16,22,1/07/2015,7,2007,4,7,9,10,10,9
479,win,St George Illawarra,Manly Warringah,26,22,1/07/2015,7,2007,6,5,7,6,8,4
480,win,Bulldogs,Sydney,38,6,2/07/2015,7,2007,16,4,8,6,8,9
481,win,Brisbane,Gold Coast Titans,19,18,6/07/2015,7,2007,12,3,11,6,7,7
482,win,Wests Tigers,Penrith,43,26,6/07/2015,7,2007,10,3,5,20,2,6
483,win,Manly Warringah,Sydney,56,0,7/07/2015,7,2007,16,9,7,0,7,6
484,win,North Queensland,Warriors,18,12,7/07/2015,7,2007,12,8,6,0,4,9
485,loose,South Sydney,Melbourne,8,12,7/07/2015,7,2007,8,3,7,0,4,6
486,loose,Cronulla,Bulldogs,12,14,8/07/2015,7,2007,12,3,11,0,5,6
487,win,St George Illawarra,Canberra,58,16,8/07/2015,7,2007,22,10,6,10,5,8
488,loose,Parramatta,Newcastle,10,34,9/07/2015,7,2007,0,10,13,20,5,7
489,win,Manly Warringah,Wests Tigers,34,4,13/07/2015,7,2007,12,6,8,4,9,4
490,loose,North Queensland,Brisbane,16,24,13/07/2015,7,2007,4,4,9,24,4,7
491,loose,Bulldogs,Penrith,20,30,14/07/2015,7,2007,14,7,8,4,5,8
492,win,Sydney,Cronulla,23,12,14/07/2015,7,2007,12,6,6,12,7,8
493,win,Canberra,Gold Coast Titans,56,10,15/07/2015,7,2007,24,2,10,10,5,6
494,win,Parramatta,South Sydney,18,12,15/07/2015,7,2007,14,8,8,0,7,9
495,win,Warriors,St George Illawarra,44,16,15/07/2015,7,2007,32,5,8,12,2,3
496,win,Melbourne,Newcastle,44,0,16/07/2015,7,2007,20,9,12,0,8,4
497,loose,Cronulla,Manly Warringah,22,29,20/07/2015,7,2007,14,4,11,12,3,7
498,loose,Gold Coast Titans,Bulldogs,12,36,20/07/2015,7,2007,6,7,7,24,6,7
499,win,Melbourne,Canberra,34,6,21/07/2015,7,2007,16,5,8,6,8,5
500,loose,Newcastle,Sydney,17,20,21/07/2015,7,2007,12,7,3,10,7,5
501,loose,Penrith,St George Illawarra,20,38,21/07/2015,7,2007,10,9,8,16,7,6
502,win,South Sydney,North Queensland,20,14,22/07/2015,7,2007,8,7,11,4,2,5
503,loose,Wests Tigers,Warriors,16,28,22/07/2015,7,2007,4,7,9,22,7,2
504,loose,Brisbane,Parramatta,16,20,23/07/2015,7,2007,0,7,4,14,4,5
505,win,Canberra,Penrith,34,30,27/07/2015,7,2007,18,6,7,10,11,4
506,win,Sydney,Melbourne,26,16,27/07/2015,7,2007,20,7,8,4,7,5
507,loose,St George Illawarra,Bulldogs,24,28,28/07/2015,7,2007,14,5,6,4,4,5
508,win,South Sydney,Gold Coast Titans,20,14,28/07/2015,7,2007,8,4,8,10,4,4
509,win,Warriors,Newcastle,52,10,28/07/2015,7,2007,30,3,6,4,8,5
510,win,Brisbane,Cronulla,30,16,29/07/2015,7,2007,18,6,8,4,6,7
511,loose,Parramatta,Manly Warringah,24,32,29/07/2015,7,2007,18,5,6,8,7,4
512,win,Wests Tigers,North Queensland,54,10,30/07/2015,7,2007,16,5,8,4,6,3
513,loose,Bulldogs,Parramatta,22,34,3/08/2015,8,2007,10,2,7,18,9,6
514,loose,Newcastle,St George Illawarra,4,20,3/08/2015,8,2007,0,10,4,10,8,4
515,win,Gold Coast Titans,Wests Tigers,30,14,4/08/2015,8,2007,24,9,9,6,3,5
516,win,North Queensland,Canberra,28,22,4/08/2015,8,2007,12,6,3,12,7,3
517,win,Penrith,South Sydney,32,16,4/08/2015,8,2007,10,8,6,10,7,6
518,loose,Brisbane,Manly Warringah,8,21,5/08/2015,8,2007,2,11,5,6,1,5
520,loose,Cronulla,Melbourne,16,17,6/08/2015,8,2007,14,4,11,12,4,9
521,win,Manly Warringah,Newcastle,50,16,10/08/2015,8,2007,26,6,4,0,6,4
522,loose,Wests Tigers,Sydney,22,26,10/08/2015,8,2007,12,4,7,16,10,7
523,loose,Parramatta,Cronulla,24,25,11/08/2015,8,2007,12,8,11,12,9,7
524,loose,St George Illawarra,South Sydney,14,24,11/08/2015,8,2007,8,8,3,10,4,8
525,win,Warriors,Gold Coast Titans,30,6,11/08/2015,8,2007,18,6,7,0,7,6
526,win,Bulldogs,Canberra,52,4,12/08/2015,8,2007,30,10,7,4,6,2
527,win,Melbourne,Brisbane,14,6,12/08/2015,8,2007,8,9,7,0,7,8
528,loose,Penrith,North Queensland,26,30,13/08/2015,8,2007,10,3,5,10,7,2
529,loose,Brisbane,Bulldogs,24,25,17/08/2015,8,2007,12,8,9,12,7,5
530,win,Melbourne,Parramatta,14,10,17/08/2015,8,2007,14,5,8,4,9,6
531,win,Canberra,Warriors,26,24,18/08/2015,8,2007,14,10,6,18,7,3
532,loose,Cronulla,Wests Tigers,28,29,18/08/2015,8,2007,18,6,4,4,6,4
533,win,North Queensland,St George Illawarra,24,14,18/08/2015,8,2007,12,11,8,6,9,5
534,win,Gold Coast Titans,Sydney,22,18,19/08/2015,8,2007,16,7,8,10,7,8
535,loose,Newcastle,Penrith,12,46,19/08/2015,8,2007,6,6,8,20,9,8
536,win,South Sydney,Manly Warringah,24,18,20/08/2015,8,2007,6,7,6,18,6,3
537,loose,Bulldogs,Melbourne,6,38,24/08/2015,8,2007,6,8,7,8,13,6
538,loose,Newcastle,North Queensland,18,34,24/08/2015,8,2007,6,7,11,16,7,7
539,win,Cronulla,Gold Coast Titans,28,12,25/08/2015,8,2007,10,13,9,6,9,6
540,loose,Sydney,Penrith,22,28,25/08/2015,8,2007,6,8,8,20,10,6
541,win,Brisbane,Canberra,30,19,26/08/2015,8,2007,6,12,10,7,4,6
542,win,Warriors,Manly Warringah,36,14,26/08/2015,8,2007,12,6,10,10,6,4
543,loose,Wests Tigers,South Sydney,12,37,26/08/2015,8,2007,6,8,6,18,6,7
544,win,St George Illawarra,Parramatta,14,6,27/08/2015,8,2007,12,7,5,0,7,8
545,win,North Queensland,Bulldogs,38,32,31/08/2015,8,2007,20,5,7,10,10,5
546,loose,Wests Tigers,Newcastle,24,26,31/08/2015,8,2007,12,8,11,6,10,7
547,loose,Canberra,Cronulla,12,22,1/09/2015,9,2007,6,10,6,12,6,6
548,loose,Penrith,Warriors,20,24,1/09/2015,9,2007,14,6,7,18,7,7
549,loose,South Sydney,Sydney,12,26,1/09/2015,9,2007,0,8,9,18,4,7
550,win,Manly Warringah,St George Illawarra,28,24,2/09/2015,9,2007,28,8,10,6,6,5
551,win,Melbourne,Gold Coast Titans,50,6,2/09/2015,9,2007,28,6,10,0,4,5
552,win,Parramatta,Brisbane,68,22,2/09/2015,9,2007,34,1,9,16,5,7
553,win,Gold Coast Titans,North Queensland,36,18,14/03/2015,3,2008,22,4,9,12,7,6
554,loose,South Sydney,Sydney,20,34,14/03/2015,3,2008,4,10,7,24,8,3
555,loose,Manly Warringah,Cronulla,10,16,15/03/2015,3,2008,6,9,11,8,6,10
556,win,Newcastle,Canberra,30,14,15/03/2015,3,2008,10,7,9,4,9,10
557,win,Parramatta,Bulldogs,28,20,15/03/2015,3,2008,0,10,7,20,5,6
558,win,Brisbane,Penrith,48,12,16/03/2015,3,2008,22,4,8,6,9,4
559,win,Wests Tigers,St George Illawarra,24,16,16/03/2015,3,2008,18,10,5,4,5,9
560,win,Melbourne,Warriors,32,18,17/03/2015,3,2008,16,6,12,12,6,7
561,loose,South Sydney,Bulldogs,12,25,21/03/2015,3,2008,12,10,7,6,5,10
562,loose,Sydney,Brisbane,14,20,21/03/2015,3,2008,14,7,7,8,10,9
563,win,Newcastle,Manly Warringah,13,12,22/03/2015,3,2008,2,13,9,6,8,7
564,loose,North Queensland,Wests Tigers,10,30,22/03/2015,3,2008,4,8,7,14,9,11
565,loose,Penrith,Canberra,16,20,22/03/2015,3,2008,16,9,4,14,7,5
566,loose,Melbourne,Cronulla,16,17,23/03/2015,3,2008,12,9,4,14,6,9
567,win,Warriors,Parramatta,30,16,23/03/2015,3,2008,12,8,4,6,7,8
568,win,St George Illawarra,Gold Coast Titans,30,12,24/03/2015,3,2008,6,7,7,6,6,5
569,win,Brisbane,North Queensland,36,2,28/03/2015,3,2008,18,6,8,2,7,7
570,win,Parramatta,Newcastle,24,23,28/03/2015,3,2008,20,10,9,12,7,8
571,win,Canberra,St George Illawarra,21,14,29/03/2015,3,2008,12,6,7,14,5,5
572,win,Gold Coast Titans,Cronulla,18,4,29/03/2015,3,2008,0,11,7,4,4,11
573,win,Sydney,Melbourne,10,6,29/03/2015,3,2008,8,8,10,0,6,11
574,win,Bulldogs,Wests Tigers,32,12,30/03/2015,3,2008,10,3,7,12,11,3
575,win,Penrith,South Sydney,26,22,30/03/2015,3,2008,22,6,8,6,6,10
576,win,Manly Warringah,Warriors,52,6,31/03/2015,3,2008,22,4,8,6,8,6
577,loose,Bulldogs,Sydney,12,40,4/04/2015,4,2008,0,6,5,20,9,8
578,win,Melbourne,Brisbane,28,8,4/04/2015,4,2008,18,8,5,4,1,7
579,win,Gold Coast Titans,Canberra,32,12,5/04/2015,4,2008,10,7,9,6,7,7
580,win,North Queensland,Parramatta,38,14,5/04/2015,4,2008,20,7,9,10,4,5
581,loose,St George Illawarra,Cronulla,16,18,5/04/2015,4,2008,4,11,4,6,7,7
582,win,Manly Warringah,South Sydney,20,2,6/04/2015,4,2008,12,5,8,2,6,8
583,win,Warriors,Newcastle,26,20,6/04/2015,4,2008,14,6,11,12,10,9
584,loose,Wests Tigers,Penrith,8,30,7/04/2015,4,2008,2,9,4,18,7,2
585,win,Melbourne,Manly Warringah,26,4,11/04/2015,4,2008,14,5,9,0,4,9
586,loose,Parramatta,Gold Coast Titans,20,28,11/04/2015,4,2008,8,2,11,16,6,3
587,loose,Penrith,Sydney,12,28,12/04/2015,4,2008,6,5,5,10,4,6
588,loose,St George Illawarra,North Queensland,16,20,12/04/2015,4,2008,6,7,10,8,6,6
589,win,Canberra,Wests Tigers,30,24,13/04/2015,4,2008,10,3,6,24,6,8
590,loose,Newcastle,Brisbane,22,34,13/04/2015,4,2008,8,8,2,26,8,6
591,win,Warriors,Bulldogs,36,16,13/04/2015,4,2008,10,6,9,12,6,8
592,loose,South Sydney,Cronulla,10,12,14/04/2015,4,2008,6,8,8,12,5,4
593,win,Gold Coast Titans,Brisbane,26,24,18/04/2015,4,2008,16,8,7,8,7,6
594,loose,Parramatta,Manly Warringah,16,20,18/04/2015,4,2008,4,12,7,10,3,1
595,win,Bulldogs,St George Illawarra,30,18,19/04/2015,4,2008,20,7,4,6,8,7
596,loose,Cronulla,Penrith,20,21,19/04/2015,4,2008,10,5,5,6,6,2
597,win,North Queensland,Warriors,48,20,19/04/2015,4,2008,22,6,5,14,7,5
598,loose,Sydney,Newcastle,20,34,20/04/2015,4,2008,20,1,8,12,9,2
599,win,Wests Tigers,South Sydney,30,10,20/04/2015,4,2008,6,8,6,10,9,6
600,loose,Canberra,Melbourne,16,23,21/04/2015,4,2008,16,7,4,4,5,7
601,win,Brisbane,South Sydney,32,18,25/04/2015,4,2008,14,7,4,6,7,5
602,win,St George Illawarra,Sydney,26,6,25/04/2015,4,2008,18,7,6,6,7,4
603,win,Manly Warringah,Bulldogs,30,22,26/04/2015,4,2008,10,10,4,10,6,6
604,loose,North Queensland,Melbourne,10,12,26/04/2015,4,2008,0,5,11,6,17,2
605,loose,Cronulla,Wests Tigers,16,20,27/04/2015,4,2008,6,8,8,8,9,7
606,win,Gold Coast Titans,Warriors,36,24,27/04/2015,4,2008,24,5,3,12,4,6
607,win,Newcastle,Gold Coast Titans,13,12,3/05/2015,5,2008,12,7,4,0,7,4
608,loose,Penrith,Parramatta,18,26,3/05/2015,5,2008,14,4,10,6,5,4
609,loose,Wests Tigers,Brisbane,22,34,3/05/2015,5,2008,0,5,4,16,5,5
610,win,South Sydney,North Queensland,28,24,4/05/2015,5,2008,18,4,4,12,5,4
611,win,Warriors,Canberra,14,6,4/05/2015,5,2008,8,14,10,0,9,8
612,loose,Bulldogs,Penrith,4,30,10/05/2015,5,2008,0,7,9,12,10,3
