,Outcome,HomeTeam,AwayTeam,HomeScores,AwayScores,Date,Month,Year,HomeHalfScores,HomeScrums,HomePenalties,AwayHalfScores,AwayScrums,AwayPenalties
70,loose,Warriors,Sydney,6,10,15/05/2015,5,2005,4,3,7,6,13,3
71,win,Parramatta,Manly Warringah,18,12,20/05/2015,5,2005,18,8,7,6,10,5
72,loose,Melbourne,Bulldogs,16,26,21/05/2015,5,2005,12,6,8,20,7,7
73,loose,Newcastle,St George Illawarra,16,18,21/05/2015,5,2005,0,9,9,8,4,8
74,loose,South Sydney,Warriors,16,34,21/05/2015,5,2005,10,7,9,24,6,4
75,loose,Penrith,Cronulla,22,30,22/05/2015,5,2005,6,9,6,16,4,5
76,win,Wests Tigers,Canberra,28,16,22/05/2015,5,2005,22,11,9,0,8,5
77,loose,Bulldogs,North Queensland,12,48,27/05/2015,5,2005,12,6,6,12,3,7
78,win,Brisbane,South Sydney,36,12,28/05/2015,5,2005,12,8,5,8,7,8
79,loose,Cronulla,Parramatta,26,34,28/05/2015,5,2005,0,6,9,22,2,7
80,win,Sydney,Canberra,30,16,28/05/2015,5,2005,18,8,12,12,3,8
81,win,Manly Warringah,Penrith,36,26,29/05/2015,5,2005,6,9,6,16,7,4
82,win,Melbourne,St George Illawarra,24,16,29/05/2015,5,2005,10,8,11,8,6,10
83,win,Warriors,Wests Tigers,21,4,29/05/2015,5,2005,11,10,7,4,12,6
84,loose,Sydney,Manly Warringah,18,22,3/06/2015,6,2005,14,3,8,6,7,8
86,win,North Queensland,Cronulla,56,14,4/06/2015,6,2005,22,5,7,14,7,4
87,win,St George Illawarra,Warriors,32,18,4/06/2015,6,2005,18,5,7,12,8,8
88,loose,Newcastle,Brisbane,16,34,5/06/2015,6,2005,10,7,5,10,8,7
89,loose,Penrith,Parramatta,22,32,5/06/2015,6,2005,10,6,7,16,6,4
90,loose,Wests Tigers,Melbourne,14,30,5/06/2015,6,2005,8,5,11,0,7,5
91,win,Wests Tigers,Cronulla,34,18,10/06/2015,6,2005,12,4,7,12,2,6
92,loose,Canberra,Brisbane,12,20,11/06/2015,6,2005,6,8,6,12,6,5
93,loose,Newcastle,Parramatta,0,50,11/06/2015,6,2005,0,5,7,20,8,4
94,win,South Sydney,Manly Warringah,44,6,11/06/2015,6,2005,14,7,9,6,3,7
95,win,St George Illawarra,North Queensland,34,4,12/06/2015,6,2005,6,7,3,4,5,7
96,win,Warriors,Melbourne,24,16,12/06/2015,6,2005,20,6,7,4,8,5
97,win,Cronulla,Sydney,16,10,17/06/2015,6,2005,2,9,6,10,14,6
98,win,Brisbane,Wests Tigers,40,22,18/06/2015,6,2005,30,5,6,6,5,11
99,loose,Melbourne,Penrith,14,28,18/06/2015,6,2005,8,6,12,4,6,9
100,win,Parramatta,Warriors,28,18,18/06/2015,6,2005,22,4,7,14,7,5
101,win,Bulldogs,Canberra,28,10,19/06/2015,6,2005,10,4,8,10,9,3
102,win,Manly Warringah,Newcastle,48,26,19/06/2015,6,2005,8,4,6,10,5,5
103,loose,South Sydney,St George Illawarra,10,28,19/06/2015,6,2005,6,7,7,8,5,4
104,win,Sydney,Parramatta,12,8,24/06/2015,6,2005,0,5,8,8,8,7
105,win,Canberra,North Queensland,23,22,25/06/2015,6,2005,22,3,6,12,6,6
106,win,Melbourne,South Sydney,48,6,25/06/2015,6,2005,32,5,6,0,5,4
107,loose,Penrith,Newcastle,24,28,25/06/2015,6,2005,14,3,7,0,6,8
109,loose,St George Illawarra,Wests Tigers,24,32,26/06/2015,6,2005,6,3,11,22,10,5
110,win,Warriors,Brisbane,30,18,26/06/2015,6,2005,18,7,5,12,7,8
111,win,Wests Tigers,Manly Warringah,49,24,1/07/2015,7,2005,31,6,7,18,5,7
112,loose,Bulldogs,Melbourne,6,33,2/07/2015,7,2005,6,5,9,14,9,5
113,loose,Newcastle,Sydney,14,28,2/07/2015,7,2005,6,8,7,16,6,6
114,win,North Queensland,Warriors,24,16,2/07/2015,7,2005,10,8,7,10,4,4
115,win,Brisbane,Cronulla,22,10,3/07/2015,7,2005,8,9,5,6,5,3
116,win,Canberra,Penrith,22,14,3/07/2015,7,2005,14,5,7,8,5,3
117,win,Parramatta,South Sydney,52,16,3/07/2015,7,2005,26,9,7,12,3,3
118,win,Parramatta,St George Illawarra,40,14,8/07/2015,7,2005,10,4,8,10,3,4
119,win,Melbourne,Canberra,20,0,9/07/2015,7,2005,8,10,9,0,10,6
120,win,Penrith,Manly Warringah,16,12,9/07/2015,7,2005,10,7,9,6,7,8
121,win,South Sydney,Cronulla,24,14,9/07/2015,7,2005,12,7,12,10,11,6
122,win,Newcastle,North Queensland,22,18,10/07/2015,7,2005,4,6,5,18,7,4
123,loose,Warriors,Bulldogs,24,26,10/07/2015,7,2005,12,9,4,12,4,5
124,win,Wests Tigers,Sydney,26,16,10/07/2015,7,2005,12,8,12,6,8,4
125,loose,Penrith,Bulldogs,16,18,15/07/2015,7,2005,6,2,8,18,7,6
126,win,Cronulla,Newcastle,30,26,16/07/2015,7,2005,10,4,7,14,6,9
127,loose,North Queensland,South Sydney,14,16,16/07/2015,7,2005,10,4,5,10,7,6
128,loose,Sydney,Warriors,22,24,16/07/2015,7,2005,12,2,7,8,8,4
129,win,Brisbane,Melbourne,28,15,17/07/2015,7,2005,10,7,9,15,7,9
130,win,Canberra,Parramatta,26,18,17/07/2015,7,2005,8,6,3,12,3,4
131,loose,Manly Warringah,St George Illawarra,10,36,17/07/2015,7,2005,6,9,9,24,6,3
