Outcome,HomeTeam,AwayTeam,Date,Month,Year
win,Penrith,South Sydney,3/07/2015,7,2015
loose,St George Illawarra,North Queensland,4/07/2015,7,2015
win,Manly Warringah,Cronulla,5/07/2015,7,2015
loose,Wests Tigers,Parramatta,6/07/2015,7,2015
win,Canberra,Newcastle,10/07/2015,7,2015
loose,Canterbury,Brisbane,11/07/2015,7,2015
loose,Penrith,Sydney,11/07/2015,7,2015
win,Cronulla,St George Illawarra,12/07/2015,7,2015
win,Warriors,Melbourne,12/07/2015,7,2015
loose,Gold Coast Titans,Manly Warringah,13/07/2015,7,2015
win,Melbourne,Penrith,17/07/2015,7,2015
loose,Parramatta,Canterbury,17/07/2015,7,2015
loose,Canberra,Cronulla,18/07/2015,7,2015
win,Newcastle,Gold Coast Titans,18/07/2015,7,2015
loose,St George Illawarra,South Sydney,18/07/2015,7,2015
win,Brisbane,Wests Tigers,19/07/2015,7,2015
win,Sydney,Warriors,19/07/2015,7,2015
loose,Manly Warringah,North Queensland,20/07/2015,7,2015
win,Brisbane,Gold Coast Titans,24/07/2015,7,2015
loose,Wests Tigers,Sydney,24/07/2015,7,2015
win,Melbourne,St George Illawarra,25/07/2015,7,2015
win,South Sydney,Newcastle,25/07/2015,7,2015
loose,Warriors,Manly Warringah,25/07/2015,7,2015
loose,Canterbury,Cronulla,26/07/2015,7,2015
loose,Penrith,Canberra,26/07/2015,7,2015
win,North Queensland,Parramatta,27/07/2015,7,2015
win,Sydney,Canterbury,31/07/2015,7,2015
win,Wests Tigers,Melbourne,31/07/2015,7,2015
win,Manly Warringah,Brisbane,1/08/2015,8,2015
win,North Queensland,Canberra,1/08/2015,8,2015
loose,Warriors,Cronulla,1/08/2015,8,2015
win,St George Illawarra,Newcastle,2/08/2015,8,2015
win,South Sydney,Penrith,2/08/2015,8,2015
win,Gold Coast Titans,Parramatta,3/08/2015,8,2015
loose,Brisbane,Canterbury,7/08/2015,8,2015
win,Manly Warringah,South Sydney,7/08/2015,8,2015
win,Cronulla,North Queensland,8/08/2015,8,2015
win,Parramatta,Penrith,8/08/2015,8,2015
loose,Warriors,St George Illawarra,8/08/2015,8,2015
win,Melbourne,Gold Coast Titans,9/08/2015,8,2015
loose,Newcastle,Sydney,9/08/2015,8,2015
loose,Canberra,Wests Tigers,10/08/2015,8,2015
loose,North Queensland,South Sydney,13/08/2015,8,2015
win,Brisbane,St George Illawarra,14/08/2015,8,2015
win,Penrith,Warriors,15/08/2015,8,2015
win,Sydney,Parramatta,15/08/2015,8,2015
loose,Wests Tigers,Newcastle,15/08/2015,8,2015
loose,Canberra,Manly Warringah,16/08/2015,8,2015
win,Canterbury,Gold Coast Titans,16/08/2015,8,2015
loose,Cronulla,Melbourne,17/08/2015,8,2015
win,St George Illawarra,Penrith,20/08/2015,8,2015
loose,South Sydney,Canterbury,21/08/2015,8,2015
win,Cronulla,Wests Tigers,22/08/2015,8,2015
win,Sydney,Brisbane,22/08/2015,8,2015
loose,Warriors,North Queensland,22/08/2015,8,2015
win,Gold Coast Titans,Canberra,23/08/2015,8,2015
loose,Manly Warringah,Parramatta,23/08/2015,8,2015
loose,Melbourne,Newcastle,24/08/2015,8,2015
loose,South Sydney,Brisbane,27/08/2015,8,2015
loose,Manly Warringah,Sydney,28/08/2015,8,2015
win,Melbourne,North Queensland,29/08/2015,8,2015
loose,Newcastle,Canterbury,29/08/2015,8,2015
loose,Parramatta,Cronulla,29/08/2015,8,2015
win,Gold Coast Titans,St George Illawarra,30/08/2015,8,2015
win,Wests Tigers,Warriors,30/08/2015,8,2015
win,Canberra,Penrith,31/08/2015,8,2015
loose,Brisbane,Melbourne,3/09/2015,9,2015
win,Sydney,South Sydney,4/09/2015,9,2015
win,North Queensland,Gold Coast Titans,5/09/2015,9,2015
win,Penrith,Newcastle,5/09/2015,9,2015
win,St George Illawarra,Wests Tigers,5/09/2015,9,2015
win,Canterbury,Warriors,6/09/2015,9,2015
loose,Cronulla,Manly Warringah,6/09/2015,9,2015
loose,Parramatta,Canberra,6/09/2015,9,2015
