"","loose","win","Outcome","HomeTeam","AwayTeam","HomeScores","AwayScores","Date","Month","Year","HomeHalfScores","HomeScrums","HomePenalties","AwayHalfScores","AwayScrums","AwayPenalties"
"1935",0.412,0.588,"loose","Parramatta","Wests Tigers",0,0,2015-04-06,"4","2015",0,0,0,0,0,0
"1936",0.378,0.622,"loose","Penrith","North Queensland",0,0,2015-04-06,"4","2015",0,0,0,0,0,0
"1937",0.382,0.618,"win","Brisbane","Sydney",0,0,2015-04-10,"4","2015",0,0,0,0,0,0
"1938",0.39,0.61,"win","Cronulla","Newcastle",0,0,2015-04-10,"4","2015",0,0,0,0,0,0
"1939",0.395,0.605,"loose","Parramatta","Gold Coast Titans",0,0,2015-04-11,"4","2015",0,0,0,0,0,0
"1940",0.441,0.559,"win","Penrith","Manly Warringah",0,0,2015-04-11,"4","2015",0,0,0,0,0,0
"1941",0.408,0.592,"win","Warriors","Wests Tigers",0,0,2015-04-11,"4","2015",0,0,0,0,0,0
"1942",0.389,0.611,"loose","Canberra","Melbourne",0,0,2015-04-12,"4","2015",0,0,0,0,0,0
"1943",0.393,0.607,"win","St George Illawarra","Canterbury",0,0,2015-04-12,"4","2015",0,0,0,0,0,0
"1944",0.389,0.611,"loose","South Sydney","North Queensland",0,0,2015-04-13,"4","2015",0,0,0,0,0,0
"1945",0.44,0.56,"win","Canterbury","Manly Warringah",0,0,2015-04-17,"4","2015",0,0,0,0,0,0
"1946",0.396,0.604,"win","St George Illawarra","Brisbane",0,0,2015-04-17,"4","2015",0,0,0,0,0,0
"1947",0.394,0.606,"win","Gold Coast Titans","Penrith",0,0,2015-04-18,"4","2015",0,0,0,0,0,0
"1948",0.414,0.586,"win","Melbourne","Sydney",0,0,2015-04-18,"4","2015",0,0,0,0,0,0
"1949",0.413,0.587,"win","North Queensland","Warriors",0,0,2015-04-18,"4","2015",0,0,0,0,0,0
"1950",0.356,0.644,"loose","Newcastle","Parramatta",0,0,2015-04-19,"4","2015",0,0,0,0,0,0
"1951",0.37,0.63,"loose","Wests Tigers","Canberra",0,0,2015-04-19,"4","2015",0,0,0,0,0,0
"1952",0.392,0.608,"win","Cronulla","South Sydney",0,0,2015-04-20,"4","2015",0,0,0,0,0,0
"1953",0.407,0.593,"loose","Canterbury","Wests Tigers",0,0,2015-04-24,"4","2015",0,0,0,0,0,0
"1954",0.338,0.662,"win","Brisbane","Parramatta",0,0,2015-04-25,"4","2015",0,0,0,0,0,0
"1955",0.431,0.569,"loose","Melbourne","Manly Warringah",0,0,2015-04-25,"4","2015",0,0,0,0,0,0
"1956",0.365,0.635,"loose","Newcastle","North Queensland",0,0,2015-04-25,"4","2015",0,0,0,0,0,0
"1957",0.389,0.611,"loose","Sydney","St George Illawarra",0,0,2015-04-25,"4","2015",0,0,0,0,0,0
"1958",0.402,0.598,"loose","Warriors","Gold Coast Titans",0,0,2015-04-25,"4","2015",0,0,0,0,0,0
"1959",0.393,0.607,"win","Penrith","Cronulla",0,0,2015-04-26,"4","2015",0,0,0,0,0,0
"1960",0.399,0.601,"loose","South Sydney","Canberra",0,0,2015-04-26,"4","2015",0,0,0,0,0,0
"1961",0.348,0.652,"win","Brisbane","Penrith",0,0,2015-05-08,"5","2015",0,0,0,0,0,0
"1962",0.373,0.627,"win","Sydney","Wests Tigers",0,0,2015-05-08,"5","2015",0,0,0,0,0,0
"1963",0.352,0.648,"win","Canberra","Gold Coast Titans",0,0,2015-05-09,"5","2015",0,0,0,0,0,0
"1964",0.393,0.607,"loose","Cronulla","Warriors",0,0,2015-05-09,"5","2015",0,0,0,0,0,0
"1965",0.416,0.584,"win","North Queensland","Canterbury",0,0,2015-05-09,"5","2015",0,0,0,0,0,0
"1966",0.365,0.635,"win","Manly Warringah","Newcastle",0,0,2015-05-10,"5","2015",0,0,0,0,0,0
"1967",0.42,0.58,"loose","Parramatta","Melbourne",0,0,2015-05-10,"5","2015",0,0,0,0,0,0
"1968",0.405,0.595,"win","South Sydney","St George Illawarra",0,0,2015-05-11,"5","2015",0,0,0,0,0,0
"1969",0.415,0.585,"loose","Canterbury","Sydney",0,0,2015-05-15,"5","2015",0,0,0,0,0,0
"1970",0.4,0.6,"win","North Queensland","Brisbane",0,0,2015-05-15,"5","2015",0,0,0,0,0,0
"1971",0.358,0.642,"loose","Gold Coast Titans","Cronulla",0,0,2015-05-16,"5","2015",0,0,0,0,0,0
"1972",0.376,0.624,"win","Melbourne","South Sydney",0,0,2015-05-16,"5","2015",0,0,0,0,0,0
"1973",0.409,0.591,"loose","Parramatta","Warriors",0,0,2015-05-16,"5","2015",0,0,0,0,0,0
"1974",0.382,0.618,"win","Newcastle","Wests Tigers",0,0,2015-05-17,"5","2015",0,0,0,0,0,0
"1975",0.34,0.66,"win","St George Illawarra","Canberra",0,0,2015-05-17,"5","2015",0,0,0,0,0,0
"1976",0.385,0.615,"loose","Manly Warringah","Penrith",0,0,2015-05-18,"5","2015",0,0,0,0,0,0
"1977",0.379,0.621,"win","South Sydney","Parramatta",0,0,2015-05-22,"5","2015",0,0,0,0,0,0
"1978",0.364,0.636,"loose","Wests Tigers","North Queensland",0,0,2015-05-23,"5","2015",0,0,0,0,0,0
"1979",0.381,0.619,"loose","Canberra","Canterbury",0,0,2015-05-24,"5","2015",0,0,0,0,0,0
"1980",0.376,0.624,"loose","Newcastle","Brisbane",0,0,2015-05-25,"5","2015",0,0,0,0,0,0
"1981",0.343,0.657,"loose","Penrith","Parramatta",0,0,2015-05-29,"5","2015",0,0,0,0,0,0
"1982",0.372,0.628,"loose","Canberra","Brisbane",0,0,2015-05-30,"5","2015",0,0,0,0,0,0
"1983",0.365,0.635,"loose","Gold Coast Titans","South Sydney",0,0,2015-05-30,"5","2015",0,0,0,0,0,0
"1984",0.437,0.563,"win","North Queensland","Manly Warringah",0,0,2015-05-30,"5","2015",0,0,0,0,0,0
"1985",0.339,0.661,"win","St George Illawarra","Cronulla",0,0,2015-05-31,"5","2015",0,0,0,0,0,0
"1986",0.379,0.621,"win","Warriors","Newcastle",0,0,2015-05-31,"5","2015",0,0,0,0,0,0
"1987",0.394,0.606,"win","Sydney","Melbourne",0,0,2015-06-01,"6","2015",0,0,0,0,0,0
"1988",0.408,0.592,"win","Brisbane","Manly Warringah",0,0,2015-06-05,"6","2015",0,0,0,0,0,0
"1989",0.375,0.625,"loose","Wests Tigers","Gold Coast Titans",0,0,2015-06-05,"6","2015",0,0,0,0,0,0
"1990",0.352,0.648,"loose","Newcastle","Canberra",0,0,2015-06-06,"6","2015",0,0,0,0,0,0
"1991",0.413,0.587,"loose","Penrith","Melbourne",0,0,2015-06-06,"6","2015",0,0,0,0,0,0
"1992",0.408,0.592,"win","South Sydney","Warriors",0,0,2015-06-06,"6","2015",0,0,0,0,0,0
"1993",0.42,0.58,"win","Cronulla","Sydney",0,0,2015-06-07,"6","2015",0,0,0,0,0,0
"1994",0.382,0.618,"win","Canterbury","St George Illawarra",0,0,2015-06-08,"6","2015",0,0,0,0,0,0
"1995",0.378,0.622,"loose","Parramatta","North Queensland",0,0,2015-06-08,"6","2015",0,0,0,0,0,0
"1996",0.379,0.621,"win","Wests Tigers","South Sydney",0,0,2015-06-12,"6","2015",0,0,0,0,0,0
"1997",0.428,0.572,"loose","Warriors","Sydney",0,0,2015-06-13,"6","2015",0,0,0,0,0,0
"1998",0.408,0.592,"win","Gold Coast Titans","Canterbury",0,0,2015-06-14,"6","2015",0,0,0,0,0,0
"1999",0.369,0.631,"loose","Melbourne","Parramatta",0,0,2015-06-15,"6","2015",0,0,0,0,0,0
"2000",0.419,0.581,"win","Manly Warringah","Wests Tigers",0,0,2015-06-19,"6","2015",0,0,0,0,0,0
"2001",0.351,0.649,"loose","Canberra","North Queensland",0,0,2015-06-20,"6","2015",0,0,0,0,0,0
"2002",0.363,0.637,"win","Canterbury","Penrith",0,0,2015-06-20,"6","2015",0,0,0,0,0,0
"2003",0.39,0.61,"loose","Gold Coast Titans","Warriors",0,0,2015-06-20,"6","2015",0,0,0,0,0,0
"2005",0.361,0.639,"loose","Newcastle","Cronulla",0,0,2015-06-21,"6","2015",0,0,0,0,0,0
"2006",0.387,0.613,"loose","St George Illawarra","Sydney",0,0,2015-06-22,"6","2015",0,0,0,0,0,0
"2007",0.359,0.641,"win","Brisbane","Newcastle",0,0,2015-06-26,"6","2015",0,0,0,0,0,0
"2008",0.434,0.566,"win","South Sydney","Manly Warringah",0,0,2015-06-26,"6","2015",0,0,0,0,0,0
"2009",0.382,0.618,"loose","North Queensland","Cronulla",0,0,2015-06-27,"6","2015",0,0,0,0,0,0
"2010",0.409,0.591,"win","Parramatta","St George Illawarra",0,0,2015-06-27,"6","2015",0,0,0,0,0,0
"2011",0.364,0.636,"win","Warriors","Canberra",0,0,2015-06-27,"6","2015",0,0,0,0,0,0
"2012",0.358,0.642,"win","Sydney","Gold Coast Titans",0,0,2015-06-28,"6","2015",0,0,0,0,0,0
"2013",0.382,0.618,"loose","Wests Tigers","Penrith",0,0,2015-06-28,"6","2015",0,0,0,0,0,0
"2014",0.403,0.597,"win","Canterbury","Melbourne",0,0,2015-06-29,"6","2015",0,0,0,0,0,0
"2015",0.383,0.617,"win","Penrith","South Sydney",0,0,2015-07-03,"7","2015",0,0,0,0,0,0
"2016",0.341,0.659,"loose","St George Illawarra","North Queensland",0,0,2015-07-04,"7","2015",0,0,0,0,0,0
"2017",0.367,0.633,"win","Manly Warringah","Cronulla",0,0,2015-07-05,"7","2015",0,0,0,0,0,0
"2018",0.36,0.64,"loose","Wests Tigers","Parramatta",0,0,2015-07-06,"7","2015",0,0,0,0,0,0
"2019",0.381,0.619,"win","Canberra","Newcastle",0,0,2015-07-10,"7","2015",0,0,0,0,0,0
"2020",0.385,0.615,"loose","Canterbury","Brisbane",0,0,2015-07-11,"7","2015",0,0,0,0,0,0
"2021",0.423,0.577,"loose","Penrith","Sydney",0,0,2015-07-11,"7","2015",0,0,0,0,0,0
"2022",0.373,0.627,"win","Cronulla","St George Illawarra",0,0,2015-07-12,"7","2015",0,0,0,0,0,0
"2023",0.414,0.586,"win","Warriors","Melbourne",0,0,2015-07-12,"7","2015",0,0,0,0,0,0
"2024",0.423,0.577,"loose","Gold Coast Titans","Manly Warringah",0,0,2015-07-13,"7","2015",0,0,0,0,0,0
"2025",0.389,0.611,"win","Melbourne","Penrith",0,0,2015-07-17,"7","2015",0,0,0,0,0,0
"2026",0.403,0.597,"loose","Parramatta","Canterbury",0,0,2015-07-17,"7","2015",0,0,0,0,0,0
"2027",0.35,0.65,"loose","Canberra","Cronulla",0,0,2015-07-18,"7","2015",0,0,0,0,0,0
"2028",0.356,0.644,"win","Newcastle","Gold Coast Titans",0,0,2015-07-18,"7","2015",0,0,0,0,0,0
